,text,author,replying_to
21,@Pandabbadon that is a compliment of the highest degree &lt;3,Bush_Punk,Pandabbadon
22,@Pandabbadon I could've guessed that,necromantiic,Pandabbadon
23,@Pandabbadon you don't gotta have all three. That's just the jackpot.,necromantiic,Pandabbadon
24,@Pandabbadon every good woman should be. lol,Dezi_Vous_Aime,Pandabbadon
25,"@Pandabbadon LOOK LOOK LOOK! https://t.co/DUczTATRUM
IT'S TRUE. 6/1 the TAH Concert Film DVD will be available via our website: http://t.co/bXkW3EHIOt Limited numbers! http://t.co/cQMYhCtCAh",OhFrankABee,Pandabbadon
26,"@Pandabbadon miigwech hon, I'm relieved.  Now I just gotta fix my other health issues.",Bush_Punk,Pandabbadon
27,@Pandabbadon Yes you are!!,VincePatton,Pandabbadon
28,"@Pandabbadon Come on, no one is THAT bad. It's fun to watch Boss Nass try and kill him by making him a General. Jar Jar is a survivor. :P",DarthSienna,Pandabbadon
29,"@Pandabbadon Well, I guess you're 1/3 of the way there. :P",DarthSienna,Pandabbadon
30,"@Pandabbadon Hush, you ain't even watch Star Wars. He's endearingly clumsy and goofy. :P",DarthSienna,Pandabbadon
31,"@Pandabbadon Hella cute, wifey.",DarthSienna,Pandabbadon
32,"@Pandabbadon yes, yes, and yes",necromantiic,Pandabbadon
33,@Pandabbadon Plus it'd be in a water bottle so...,tntux,Pandabbadon
34,@Pandabbadon I like your idea way better.,tntux,Pandabbadon
35,@Pandabbadon ONLY ALWAYS :P,DarthSienna,Pandabbadon
36,"@Pandabbadon Spencer: actually most alien abductions have been proven to be false because the mind is susceptible to....
Mulder: aliens.",OhFrankABee,Pandabbadon
37,@Pandabbadon mulder: aliens. Scully: nah. Cm cast: UNSUB! WHAT KIND OF FBI AGENTS ARE YOU?,OhFrankABee,Pandabbadon
38,@Pandabbadon couldn't help myself,necromantiic,Pandabbadon
39,@Pandabbadon we should put out a FLYer,necromantiic,Pandabbadon
40,@Pandabbadon CORVID SQUAD,necromantiic,Pandabbadon
41,@Pandabbadon purring isn't necessary but is definitely a plus,necromantiic,Pandabbadon
42,@Pandabbadon idk I have exceptional nostrils?? Maybe one day I'll get punched in the nose. Fingers crossed,necromantiic,Pandabbadon
43,@Pandabbadon Early birds? Ok I'll stop tweeting.,tntux,Pandabbadon
44,@Pandabbadon oh I wouldn't worry about that. I have an anti-hex bag on my dresser just in case. (True story. Want a pic?),necromantiic,Pandabbadon
45,@Pandabbadon it was my own head hair from a Big Chop,necromantiic,Pandabbadon
46,@Pandabbadon check out #DONBRG GEECHIE D.O.N TRAILER @GEECHIEDON #DOWNLOAD http://t.co/hE3n9zRzSO …  http://t.co/PINJIQQML2,IRUNFILMS,Pandabbadon
47,@Pandabbadon A novel idea.,necromantiic,Pandabbadon
48,@Pandabbadon bb you are so cute you don't even know 😘,lilitharcane,Pandabbadon
49,@Pandabbadon I wouldn't dream of anyone else,necromantiic,Pandabbadon
50,@Pandabbadon I wish you were out here!,lilitharcane,Pandabbadon
51,@NotALLComrades Or as a cheap rhetorical device to talk about immigration...,apaniaakii,Pandabbadon
52,@NotALLComrades 2/2 which I think is really interesting compared to the garden variety Plains man (always a man) straight outta E.S Curtis.,apaniaakii,Pandabbadon
53,"@NotALLComrades Pretty much. Also, ones in Canada tend to be caricatures of IRL people (Phil Fontaine, Shawn Atleo, Theresa Spence) 1/2",apaniaakii,Pandabbadon
54,@NotALLComrades *groan*,necromantiic,Pandabbadon
55,@NotALLComrades 20 characters,necromantiic,Pandabbadon
56,"@NotALLComrades Next time I bump into one, I'll take a picture for you. Biggest deer I ever saw tho, were in Missoula at UM campus. HUGE.",apaniaakii,Pandabbadon
57,@NotALLComrades These deer are HUGE. They get fat off suburban Canadian garbage.,apaniaakii,Pandabbadon
58,"@NotALLComrades One deer = so many mason jars of venison, so many earring backers, &amp; a whole outfit from head to toe! Damnit...",apaniaakii,Pandabbadon
59,"@NotALLComrades Next time, next time. We joked about having a deer hunt for Indigenous Resurgence Month.",apaniaakii,Pandabbadon
60,"@NotALLComrades I was carrying groceries, had no hunting knife, no bow and arrow, no rifle, and no convenient cliff to drive it over :P",apaniaakii,Pandabbadon
61,"@NotALLComrades I live near Camosun College, which has a serious deer infestation. Victoria hippies have no taste for venison. :P",apaniaakii,Pandabbadon
62,@NotALLComrades a lot of indigenous studies in uni = unlearning harmful lies from K-12.,apaniaakii,Pandabbadon
63,"@NotALLComrades 2/2 because it's in IS but only NDN students can enrol, MUCH safer learning environment",apaniaakii,Pandabbadon
64,@NotALLComrades I want to make sure NDN students still get space in their own dept to learn. LE NONET at uvic is a good example 1/2,apaniaakii,Pandabbadon
65,@NotALLComrades if it takes the pressure to play educator off NDN students I'm all for it.,apaniaakii,Pandabbadon
66,@NotALLComrades that's true. This is in response to UW saying all students need it.,apaniaakii,Pandabbadon
67,@NotALLComrades D: D: Worst one I saw was of a feminized Ronald McDonald breastfeeding an infant. That I can never unsee. Ugh.,apaniaakii,Pandabbadon
68,@NotALLComrades That exists? That exists?!?! Did Banksy get a http://t.co/5h3BraKsll account or something?,apaniaakii,Pandabbadon
69,"@NotALLComrades Anytime, comrade.",necromantiic,Pandabbadon
70,@NotALLComrades I'll make sure to keep a window open should the mood strike.,necromantiic,Pandabbadon
71,@NotALLComrades You know what? You might be on to something.,necromantiic,Pandabbadon
72,"@NotALLComrades had the flu last weekend, was fine thru the weekdays, then got the flu again this weekend. Didnt even know that was possible",necromantiic,Pandabbadon
73,"@NotALLComrades Okay, I'm gonna re-tweet it but you have to favorite it so I feel validated.",necromantiic,Pandabbadon
74,"@NotALLComrades Oh, I deleted it right before you replied! I was afraid of it coming off pretentious. But now I regret it.",necromantiic,Pandabbadon
75,"@NotALLComrades Darling, you have to know I get this ALL the time. Which instance (of which there are several) is this in response to?",necromantiic,Pandabbadon
76,@NotALLComrades I was being loud and obnoxious. It wasn't just me though! My sister was too and they didn't pull her aside. What bullshit.,necromantiic,Pandabbadon
77,"@NotALLComrades Okay, good. (It's black, of course)",necromantiic,Pandabbadon
78,@NotALLComrades That helps a little bit. But I'm such an Up And Doing Things person now. So having to rest for three days is killing me.,necromantiic,Pandabbadon
79,"@NotALLComrades Damn, I didn't even think of that. That's perfect.",necromantiic,Pandabbadon
80,@NotALLComrades I'll ask the neighbors to notify me if they see any roadkill. That's free bones right there.,necromantiic,Pandabbadon
81,@NotALLComrades Done.,necromantiic,Pandabbadon
82,"@NotALLComrades I'm listening, I'm listening. How does one join?",necromantiic,Pandabbadon
83,@NotALLComrades Spooky http://t.co/AYkiCHtHhX,necromantiic,Pandabbadon
84,"@NotALLComrades Oh my God, you're incredible. That's exactly who I was thinking of.",necromantiic,Pandabbadon
85,@NotALLComrades I bet there's a Chlamydia out there somewhere. Maybe in a non-English speaking country. Fingers crossed.,necromantiic,Pandabbadon
86,"@NotALLComrades Well, you know what they say; bodies are universes. Bloody, bloody, universes.",necromantiic,Pandabbadon
87,@NotALLComrades Same,THESHINOBIEST,Pandabbadon
88,@NotALLComrades I like the way you think. That would have been great. I always have twine needs.,necromantiic,Pandabbadon
89,"@NotALLComrades I've found a vile of fly eggs, a porno newspaper from the 70's and a toy skeleton. Still looking for a real skeleton.",necromantiic,Pandabbadon
90,"@NotALLComrades oh wait, that didn't answer your question. I just looked up and saw a line of twine just randomly there.",necromantiic,Pandabbadon
91,@NotALLComrades My sister painted the sky on it when it was hers &amp; I hate it. Instead of painting over it I just took a sledge hammer to it.,necromantiic,Pandabbadon
92,@NotALLComrades It would be enough to make Patrick Bateman jealous. Eggshell with Romalian type.,necromantiic,Pandabbadon
93,@NotALLComrades (took a sec to cool down) I except no other description of myself.,necromantiic,Pandabbadon
94,@NotALLComrades That! That is??I don't have the words. I love you. That's it. That's all I can say. 😱,necromantiic,Pandabbadon
95,"@NotALLComrades Oh stop, you're makin' me blush.",necromantiic,Pandabbadon
96,"@NotALLComrades thank you for ""the egg"" link! interesting pose. love ya fam",my2centworth,Pandabbadon
97,@NotALLComrades It's a close call.,necromantiic,Pandabbadon
98,"@NotALLComrades Nope, sorry. I have my hair parted in the middle, behind my ears and I'm wearing a System Of A Down t-shirt.",necromantiic,Pandabbadon
99,"@NotALLComrades I was playing ball in the house and, as if by some divine force, it went for it.",necromantiic,Pandabbadon
100,@NotALLComrades Baby Jesus and Mary remained unscathed. Joseph's head is cracked open. http://t.co/4MMfVzgWiO,necromantiic,Pandabbadon
101,@NotALLComrades *jaw drop*,jenny0101,Pandabbadon
102,"@NotALLComrades YES! Or being told to smile, when they aren't even smiling but we always gotta put them at ease 😡 #alivewhileblack",4brownboysmom,Pandabbadon
103,@NotALLComrades just sad!,Thunderson22,Pandabbadon
104,"@NotALLComrades Hell, even if she isn't. I just need her mouth on my neck.",necromantiic,Pandabbadon
105,"@NotALLComrades If the kind of being she is happens to be a vampire, I'm upgrading her from hugging me from behind to biting me on the neck.",necromantiic,Pandabbadon
106,"@NotALLComrades Okay, after doing a little fact checking before I sent my reply I found out that Lucy Liu is OLDER THAN GINA TORRES WHAT???",necromantiic,Pandabbadon
107,@NotALLComrades Nooo! My air!,tntux,Pandabbadon
108,"@NotALLComrades True, haha. At least Sam Jackson got to be the baddest motherfucker on the Jedi Council.",DarthSienna,Pandabbadon
109,@NotALLComrades but you ARE human. never forget that.(((hug))),my2centworth,Pandabbadon
110,"@NotALLComrades Yep, yep.",necromantiic,Pandabbadon
111,@NotALLComrades That'll do it.,necromantiic,Pandabbadon
112,@NotALLComrades It is because my dad is easily persuaded. It took me under two minutes to convince him to be anti-capitalism.,necromantiic,Pandabbadon
113,@NotALLComrades Howwwwww about cocoa? :D,carmillaseries,Pandabbadon
114,"@NotALLComrades I'd ship some, but something tells me that it be th-low food and not t-high food.",shazmit,Pandabbadon
115,"@NotALLComrades let me guess, like rebooting it works way more often than one would expect?",marcducharme,Pandabbadon
116,"@NotALLComrades Spaghetti fingers and meatballs to the rescue! GET YOUR GARLIC BREAD READY, STAT!!!",shazmit,Pandabbadon
117,@NotALLComrades now that's a useful skill.,necromantiic,Pandabbadon
118,"@NotALLComrades Hey, no one's arguing here. You're the smartest person I know, you could probably churn butter.",necromantiic,Pandabbadon
119,@NotALLComrades The pleasure is mine!,tntux,Pandabbadon
120,"@NotALLComrades Speaking of that, I love the avi!",tntux,Pandabbadon
121,@NotALLComrades Thank you!,necromantiic,Pandabbadon
122,"@NotALLComrades (cont.) But that'd be a great euphemism. I'm gonna go ""get rid of my hiccups"".",necromantiic,Pandabbadon
123,@NotALLComrades I just got rid of them by trying to breathe while covering my mouth. (cont.),necromantiic,Pandabbadon
124,"@NotALLComrades God, me too. I'm about to punch myself in the diaphragm.",necromantiic,Pandabbadon
125,@NotALLComrades I'd be willing to watch hockey for a red velvet cupcake. Count me in.,tntux,Pandabbadon
126,@NotALLComrades verrry important for internet things,shazmit,Pandabbadon
127,@NotALLComrades NEED TO LISTEN NOW. sent to your msn email,shazmit,Pandabbadon
128,@NotALLComrades OMGOMG http://t.co/Jv5EbV7QZW,shazmit,Pandabbadon
129,@NotALLComrades yupupup yup.,shazmit,Pandabbadon
130,@NotALLComrades and i was actually looking for it in my archive before you sent that. its getting ridic how much i see it a day,shazmit,Pandabbadon
131,@NotALLComrades wut r u reading and show me link and page,shazmit,Pandabbadon
132,@NotALLComrades CANNOT UNSEE,shazmit,Pandabbadon
133,@NotALLComrades You aren't talking to Sweet S Triple Flavor because you're just jelly,shazmit,Pandabbadon
134,"@NotALLComrades and my rap name is Sweet ""SW Triple Flavor""",shazmit,Pandabbadon
135,@NotALLComrades Amber? is this your twitter? wut,shazmit,Pandabbadon
136,@NotALLComrades omg lol . no,shazmit,Pandabbadon
137,@NotALLComrades word.,speakfaithfully,Pandabbadon
138,"“@NotALLComrades: I'm like a hard 4,5 in the right light but I got the standards of a solid 10. What a cruel joke” ... Me too!!!! 😁",Mitsawokett,Pandabbadon
139,@NotALLComrades Late night twitter is the best!,tntux,Pandabbadon
140,"@NotALLComrades Hang on with the rest of us! I'm sorry to hear that it's so rough! Btw, I adore your avi!",tntux,Pandabbadon
141,Like the Dickens RT @otahkoapisiakii Excellent date ideas: bring me to the Socialism Conference,RedScareBot,Pandabbadon
142,War On Truthiness RT @otahkoapisiakii Let's talk about intersectional feminism and socialism #MeFlirting,RedScareBot,Pandabbadon
143,@Otahkoapisiakii @CloneClubNews YES! THIS.,Geekspiralling,Pandabbadon
144,@Otahkoapisiakii haha. nerd. you's a nerdy nerd nerdhead,shazmit,Pandabbadon
145,@Otahkoapisiakii yup! lol,shazmit,Pandabbadon
146,@Otahkoapisiakii I need an answer to my hotdog inquiry. Will do facetime to gather your opinion.,shazmit,Pandabbadon
147,@Otahkoapisiakii do you think i should be a hotdog for halloween? I do a great hotdog impression.,shazmit,Pandabbadon
148,@Otahkoapisiakii Yes! Yes!,shazmit,Pandabbadon
149,@Otahkoapisiakii That killed me.,necromantiic,Pandabbadon
150,"@Otahkoapisiakii Someone needs to put that on a Hallmark card. Actually, when's your birthday?",necromantiic,Pandabbadon
151,"@Otahkoapisiakii Oh, I will.",necromantiic,Pandabbadon
152,@Otahkoapisiakii I was specifically talking about the hot guys at this party I'm at.,necromantiic,Pandabbadon
153,"@Otahkoapisiakii Everybody knows queer deaths are the hardest to get over. Although if I took 6 kps, I would seep into the floorboards.",necromantiic,Pandabbadon
154,@Otahkoapisiakii I can only hope.,necromantiic,Pandabbadon
155,@Otahkoapisiakii Baubles 3: Baubles in Space as directed by Stephen King #jewelry #baubles #badchoiceiknow,TsalagiGrlSpice,Pandabbadon
156,"@Otahkoapisiakii SOMETIMES YOU JUST GOTTA FUCK YODA, MY PAL. USE THE FORCE ON THAT ASS.",THESHINOBIEST,Pandabbadon
157,@Otahkoapisiakii Here's something not scary at all. http://t.co/KLMf8Um29J,THESHINOBIEST,Pandabbadon
158,@Otahkoapisiakii So you think...,THESHINOBIEST,Pandabbadon
159,"@Otahkoapisiakii Hahaha, goddamn. You looking behind shower curtains and shit, checking dead bolts?",THESHINOBIEST,Pandabbadon
160,"@Otahkoapisiakii Hahahahahaha, you ain't like Till Lindemann, my pal?",THESHINOBIEST,Pandabbadon
161,@Otahkoapisiakii How could I forget,necromantiic,Pandabbadon
162,@Otahkoapisiakii @ImageFeeder @emtothea or rock back and forth sucking your thumb and clutching a blankie..at least that is what I would do,TaraLSmolock,Pandabbadon
163,"@Otahkoapisiakii Dunno, crab grass it too nice. Make 'em eat moss.",Bingwi,Pandabbadon
164,@Otahkoapisiakii @marfmellow - I just... http://t.co/CIr0M551bZ,Mitsawokett,Pandabbadon
165,"@Otahkoapisiakii @niitsitapii Don't worry, I'll help you find a job when you grow out of your anarcho-socialist hipster phase",frankcbusch,Pandabbadon
166,"@Otahkoapisiakii @niitsitapii I am afraid I didn't see any content. But again, thanks for the promo! Lots of hits to my @HuffingtonPost blog",frankcbusch,Pandabbadon
167,"@Otahkoapisiakii @niitsitapii If you feel invalidated, it is coming from the inside. I am not familiar with your experiences",frankcbusch,Pandabbadon
168,"@Otahkoapisiakii @niitsitapii When the content cannot be argued, you attack the ""tone""? That's pitiful, I feel sorry for you",frankcbusch,Pandabbadon
169,@Otahkoapisiakii @niitsitapii Some one has to fund your Commie social programs. I guess in the future it will have to be us Capitalist NDNs,frankcbusch,Pandabbadon
170,"@Otahkoapisiakii @niitsitapii That's because I wasn't talking abt Urban Aboriginal Suicide, it's a different issue. @HuffingtonPost is free",frankcbusch,Pandabbadon
171,"@Otahkoapisiakii @niitsitapii If they have been in those situations, they would have the same opinions. They would ask what could be done",frankcbusch,Pandabbadon
172,@Otahkoapisiakii @niitsitapii Spend some time on the Rez before telling me what goes on out there. Cut down a few ropes before commenting,frankcbusch,Pandabbadon
173,"@Otahkoapisiakii @niitsitapii If you have to use profanity to make your point, then your point lacks content and/or merit.",frankcbusch,Pandabbadon
174,"@Otahkoapisiakii @niitsitapii Thanks for the promo, but you missed the point. It's about FN's taking responsibility for our part in #suicide",frankcbusch,Pandabbadon
175,"@AmberleighJoy @niitsitapii That is Socialist propaganda. No evidence, Western or Oral Tradition supports that assumption.",frankcbusch,Pandabbadon
176,Take the Fifth RT @amberleighjoy: @frankcbusch @niitsitapii Tradish societies were more Socialist/Anarcho-Socialist than Capitalist.,RedScareBot,Pandabbadon
177,"@AmberleighJoy @niitsitapii The problem is that ""giving"" can become ""enabling"".",frankcbusch,Pandabbadon
178,@AmberleighJoy So am I! I caught myself napping on the couch. Ugh.,tntux,Pandabbadon
179,"@AmberleighJoy damn, that's actually very true. I've seen this happen too many times.",jakeandfries,Pandabbadon
180,@AmberleighJoy *aplausos* I hear you. :-),TheVaginalist,Pandabbadon
181,"@AmberleighJoy honestly, I despair.",TheVaginalist,Pandabbadon
182,@AmberleighJoy it definitely is but I don't see how just hanging in there is the answer. This system was not designed with us in mind,TheVaginalist,Pandabbadon
183,@AmberleighJoy the academic arena seems to be a very peer driven peer pressurey place that values conformity to a particular POV,TheVaginalist,Pandabbadon
184,@AmberleighJoy area where they are one of a handful of their kind or perhaps the only one committed to resistance,TheVaginalist,Pandabbadon
185,@AmberleighJoy I just has a hard time seeing how aspiring academics go about mitigating the internalization. Especially if they're in an+,TheVaginalist,Pandabbadon
186,@AmberleighJoy  Agreed being open to change is vital or we can lose ourselves,subadai15,Pandabbadon
187,"@AmberleighJoy Agreed what ur reading, r u thinking on a higher level &amp; questioning or just regergetating material",subadai15,Pandabbadon
188,@AmberleighJoy I would actually say this(internalizing) is the case for most.,TheVaginalist,Pandabbadon
189,@AmberleighJoy Sorry did not mean to imply that. We need common mediums to communicate.,subadai15,Pandabbadon
190,@AmberleighJoy Thats why I teach my son to follow up and do his own research.,subadai15,Pandabbadon
191,"@AmberleighJoy no assumptions, just pro learning open to all",subadai15,Pandabbadon
192,"@AmberleighJoy somehow more legit, I know right?  *facepalm* However nowadays I have their arrows. Now what's up? ;p Lol #PhD",Indigenia,Pandabbadon
193,@AmberleighJoy I noticed u read &amp; write. There r important things to learn from many different people,subadai15,Pandabbadon
194,"@AmberleighJoy lol I've actually experienced that.  Having my own opinion dismissed, and having an academic say the same thing - doctrine.",Indigenia,Pandabbadon
195,"@AmberleighJoy ""I'm more decolonized than u"" game. Its insulting to me and everything I'm trying to represent. Holla.",Indigenia,Pandabbadon
196,"@AmberleighJoy and we are defining what it is as we go, just as we've done w/our identities for centuries. I Refuse 2get caught in the",Indigenia,Pandabbadon
197,@AmberleighJoy IKR?  Let's just shoot our own cause in the foot by judging the shit out of and then alienating people who might help. Lol,Indigenia,Pandabbadon
198,@AmberleighJoy TRUTH,FuckallFeminist,Pandabbadon
199,@AmberleighJoy that one is perffffffect,FuckallFeminist,Pandabbadon
200,"@amberleighjoy @pygmysioux I agree, I also dispose of my nail cuttings carefully.",khangiluta,Pandabbadon
201,@amberleighjoy @pygmysioux Is that because of fear of evil magic being done with the hair?,khangiluta,Pandabbadon
202,@AmberleighJoy yes! And wouldn't let us go on the sled or slide after dark!,starleigh_grass,Pandabbadon
203,Hahaha...a bowl of menudo sounds good right now @AmberleighJoy,EagleOne505,Pandabbadon
204,"@AmberleighJoy :( You are such an amazing, powerful woman doing real, inspiring work. &lt;3 &lt;3 &lt;3 Sending you all the perseverance and hope!",FuckallFeminist,Pandabbadon
205,"@AmberleighJoy good to see you on here, woman! How have you been? Happy Solstice &lt;3",FuckallFeminist,Pandabbadon
206,@AmberleighJoy meet @MochaLisaccino if u don't already know her.  She can relate on this big time.,DelSchilling,Pandabbadon
207,@AmberleighJoy lmao!!!,MamaAvesha,Pandabbadon
208,@AmberleighJoy I immediately thought of you when she said that.,necromantiic,Pandabbadon
209,"@AmberleighJoy No. Yes. Also, I ate McDonalds.",shazmit,Pandabbadon
210,@AmberleighJoy I had to borrow a sweater from my dad but everything else I had. http://t.co/s56AlmAPMJ,necromantiic,Pandabbadon
211,@AmberleighJoy OH. MY. GOD.,necromantiic,Pandabbadon
212,@AmberleighJoy I'm with you on that one.,ImageFeeder,Pandabbadon
213,"@AmberleighJoy I will try eventually.. hmm fried :"")",Sherah70,Pandabbadon
214,@AmberleighJoy im stalking your tweets lol,J0hnHanna,Pandabbadon
215,@AmberleighJoy who said its gross?! Straight.. bi... gay..  its all natural feelings so they need to stfu,TheRobynStar,Pandabbadon
216,"@AmberleighJoy Thin fairly lean finely-ground beef. Tasty in a sandwich- pan fried, seasoned w/ celery salt &amp; onion powder.",tntux,Pandabbadon
217,@AmberleighJoy I grew up eating that!,tntux,Pandabbadon
218,@AmberleighJoy kummerspeck,wapimaskwa69,Pandabbadon
219,@AmberleighJoy lol as long as its not an inverse slope,wapimaskwa69,Pandabbadon
220,@AmberleighJoy movie is creepy,tabatha_jean,Pandabbadon
221,@AmberleighJoy It's very rich air down here. i use ants as horses and it's pretty neat.,shazmit,Pandabbadon
222,"@AmberleighJoy Whatever, how's the air up there?",shazmit,Pandabbadon
223,@AmberleighJoy *stuffs cotton balls in your mouth*,shazmit,Pandabbadon
224,@AmberleighJoy OMG SHUT YOUR FACE!!!!!!!! =0,shazmit,Pandabbadon
225,@AmberleighJoy I guess we'll have to wait and see.,necromantiic,Pandabbadon
226,@AmberleighJoy I've read stories about voodoo zombies. The lack of oxygen to the brain when they were dead screws them up.,necromantiic,Pandabbadon
227,@AmberleighJoy Luv Ren n Stimpy! #HappyHappyJoyJoy,Sherah70,Pandabbadon
228,@AmberleighJoy LOL dont kno who Summers is but thats an Awesomely original putdown :) #LuvIt,OrygunLib,Pandabbadon
229,"@AmberleighJoy This is why I love the Paleocene. Snakes the size of school buses, killer birds, and tree climbing crocodiles.",Ruyhemka,Pandabbadon
230,@AmberleighJoy Noted.,tntux,Pandabbadon
231,@AmberleighJoy Rumours that Bradley McIntosh from s club killed tupac and biggie turned out to be false #sclubparty http://t.co/tbGkl5SYgt,S_Club_Party,Pandabbadon
232,"@AmberleighJoy Rachel in Russia - Day 3, Rachel learned about poaching. #sclubparty http://t.co/tbGkl5SYgt",S_Club_Party,Pandabbadon
233,@AmberleighJoy ain't no party like an S Club party!,sarahcasm,Pandabbadon
234,@AmberleighJoy Jesus fucking Christ. This whole thing is upsetting. I used to love him so much. He's a giant douche nozzle.,necromantiic,Pandabbadon
235,@AmberleighJoy I feel your pain. I actually have it on DVD.,necromantiic,Pandabbadon
236,@AmberleighJoy It's called lesbian porn. :p,BmoreSmore,Pandabbadon
237,@AmberleighJoy ha! good wun. and I want to Who The Funk she is.. :P,CapilanoSam,Pandabbadon
238,"@AmberleighJoy When the Ancient Aliens pilot aired, I started panicking and thought that aliens were peeking through my windows.",necromantiic,Pandabbadon
239,"@AmberleighJoy after 2am... 
i like the bio channel for biographies...
and own channel for 48hours: hard evidence.

watch til i cant take it",REZ_woman,Pandabbadon
240,@AmberleighJoy on the phone. Hello! http://t.co/92eoPPQUtG,shazmit,Pandabbadon
241,@AmberleighJoy http://t.co/IufyCv4M94 This show?,wapimaskwa69,Pandabbadon
242,@AmberleighJoy oh ok.,wapimaskwa69,Pandabbadon
243,@AmberleighJoy SwanQueen?,wapimaskwa69,Pandabbadon
244,"@AmberleighJoy nah, its not weird. Sometimes there is part of your soul u don't want to share",wapimaskwa69,Pandabbadon
245,"@AmberleighJoy of course. but im off on fridays, rmember?",shazmit,Pandabbadon
246,"@AmberleighJoy yeah, you're an alien and all! :D",shazmit,Pandabbadon
247,"@AmberleighJoy you just regenerated, y know?",shazmit,Pandabbadon
248,@AmberleighJoy you forget ive already eaten your gay?,shazmit,Pandabbadon
249,"@AmberleighJoy No, don't unblock him. He will be an asshat again.",shazmit,Pandabbadon
250,"@AmberleighJoy he was serious. he said to tell you he was sorry, too, because you blocked him and he couldnt tell you himself.",shazmit,Pandabbadon
251,"@AmberleighJoy I talked to my friend Rob Flopcat. I made him think about what he said, and he said he's sorry.",shazmit,Pandabbadon
252,@AmberleighJoy THAT would be considered normal that I've seen...,shazmit,Pandabbadon
253,@AmberleighJoy That's my favorite Restaurant! *runs faaaar away* :P,Ruggs_Gotcha,Pandabbadon
254,@AmberleighJoy Just set it and Forget it,wapimaskwa69,Pandabbadon
255,"@AmberleighJoy Nah, nothing wrong with the Cure. Be with who makes you sing Love Cats in your head",wapimaskwa69,Pandabbadon
256,"@AmberleighJoy thank you! He just started figuring out he can pee standing up. It's the little things. I'm also following you back, btw",FuckallFeminist,Pandabbadon
257,@AmberleighJoy we're great. Kidlet toilet trained &amp; turned 2 yo :),FuckallFeminist,Pandabbadon
258,@AmberleighJoy why don't I follow you on tumblr? http://t.co/uik9kilo Or have we had this convo? Am I an idiot?,FuckallFeminist,Pandabbadon
259,"@AmberleighJoy this just cracked me up. HOw you been, woman?",FuckallFeminist,Pandabbadon
260,"@AmberleighJoy Boo! Where are you, woman?!",TrishCausey,Pandabbadon
261,@AmberleighJoy I thought everyone knew of them :/,tabatha_jean,Pandabbadon
262,@AmberleighJoy They don't understand oral traditions.,Eden_Fine_Day,Pandabbadon
263,"@AmberleighJoy I'd been waiting for it to get cold here -- it's been in the 70's... now the cold is here, and I'm ready for Spring. :-)",TrishCausey,Pandabbadon
264,@AmberleighJoy Boo! Hope you are well -- and WARM!! :-),TrishCausey,Pandabbadon
265,@AmberleighJoy HAPPY BIRTHDAY!!! (If Im late insert the belated on my behalf) :),MamaAvesha,Pandabbadon
266,@AmberleighJoy and grandma didn't go to Peru. #phoebesong,wapimaskwa69,Pandabbadon
267,@AmberleighJoy Horrible Prequels: Bacon-let .... Get it? :-P,TrishCausey,Pandabbadon
268,@AmberleighJoy I've only pillaged Eastern Europe :-(,RobKOTD,Pandabbadon
269,@AmberleighJoy Dunno them. :/,BmoreSmore,Pandabbadon
270,@AmberleighJoy The video chat needs flash. Could that be it?,BmoreSmore,Pandabbadon
